season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2014-15,2015-01-17,Valencia,Almeria,3,2,2,2,15,8,8,2,8,4,14,18,2,2,0,0,home_win
2014-15,2015-01-17,Villarreal,Ath Bilbao,2,0,1,0,19,11,6,5,9,6,15,10,2,2,0,0,home_win
2014-15,2015-01-18,Ath Madrid,Granada,2,0,1,0,12,5,3,1,3,6,17,16,3,3,0,0,home_win
2014-15,2015-01-18,Elche,Levante,1,0,1,0,15,9,6,2,3,5,18,11,3,3,0,1,home_win
2014-15,2015-01-18,Getafe,Real Madrid,0,3,0,0,6,24,0,9,7,8,19,10,2,2,0,0,away_win
2014-15,2015-01-18,La Coruna,Barcelona,0,4,0,2,7,14,2,6,2,4,14,7,2,2,0,0,away_win
2014-15,2015-01-18,Sevilla,Malaga,2,0,1,0,4,4,3,1,2,0,9,6,3,1,0,0,home_win
2014-15,2015-01-24,Villarreal,Levante,1,0,0,0,15,11,4,1,6,3,12,8,0,3,0,0,home_win
2014-15,2015-01-24,Sociedad,Eibar,1,0,0,0,19,9,4,4,9,5,6,17,2,2,0,0,home_win
2014-15,2015-01-24,Elche,Barcelona,0,6,0,1,6,12,3,8,2,3,18,12,5,2,1,0,away_win
2014-15,2015-01-24,Ath Madrid,Vallecano,3,1,2,1,12,10,5,3,8,5,15,12,1,1,0,0,home_win
2014-15,2015-01-24,Cordoba,Real Madrid,1,2,1,1,16,13,4,4,3,9,15,13,1,3,1,1,away_win
2014-15,2015-01-25,Ath Bilbao,Malaga,1,1,0,0,11,8,5,3,8,2,16,17,0,1,0,0,draw
2014-15,2015-01-25,Espanol,Almeria,3,0,2,0,18,9,9,1,9,7,16,12,2,1,0,0,home_win
2014-15,2015-01-25,La Coruna,Granada,2,2,2,1,13,5,7,2,7,2,18,15,3,3,1,0,draw
2014-15,2015-01-25,Valencia,Sevilla,3,1,2,1,13,10,8,6,3,7,23,15,6,5,0,0,home_win
2014-15,2015-01-26,Getafe,Celta,2,1,1,1,13,7,6,2,6,2,9,17,2,5,0,0,home_win
2014-15,2015-01-30,Vallecano,La Coruna,1,2,1,1,11,13,4,6,10,7,14,18,4,5,0,0,away_win
2014-15,2015-01-31,Real Madrid,Sociedad,4,1,2,1,26,8,11,2,10,3,8,11,3,1,0,0,home_win
2014-15,2015-01-31,Celta,Cordoba,1,0,0,0,19,8,9,3,8,2,10,10,2,6,0,0,home_win
2014-15,2015-01-31,Eibar,Ath Madrid,1,3,0,3,11,8,3,5,6,8,14,16,3,3,0,0,away_win
2014-15,2015-01-31,Granada,Elche,1,0,0,0,14,5,2,1,12,4,14,13,4,4,0,1,home_win
