home_form_last8,away_form_last8,home_goal_avg,away_goal_avg,home_conceded_avg,away_conceded_avg,home_xg_proxy,away_xg_proxy,home_shots_avg,away_shots_avg,home_sot_avg,away_sot_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,head_to_head_score,home_league_position,away_league_position,home_home_win_rate,away_away_win_rate,home_advantage,home_strength_score,away_strength_score,goal_diff_ratio,position_diff,form_diff,xg_diff,result
0.8325,0.165,2.5,1.75,0.5,0.75,0.3256,0.2941,10.75,12.5,3.5,5.5,3.75,6.5,1.25,2.75,0.5,4,20,1.0,0.0,0.7475,1.4775,1.2024,0.1765,0.8,0.6675,0.0315,home_win
0.266,0.598,1.0,1.4,2.6,2.0,0.3091,0.4655,11.0,12.2,3.4,4.0,5.2,4.6,2.0,2.2,0.5,17,6,0.0,0.0,-0.252,0.7267,1.0188,-0.1667,-0.55,-0.332,-0.1564,away_win
0.2,0.466,0.8,0.8,1.2,1.0,0.4348,0.3265,9.2,13.6,4.0,4.2,3.2,7.8,1.8,3.0,0.5,18,9,0.5,0.5,-0.186,0.8198,0.9599,0.0,-0.45,-0.266,0.1083,draw
0.732,0.866,1.4,0.6,0.8,1.8,0.3857,0.4203,14.0,7.8,5.4,1.6,5.8,4.4,3.8,4.0,0.5,5,1,0.5,1.0,-0.054,1.3374,0.8108,0.4,-0.2,-0.134,-0.0346,home_win
0.866,0.532,2.2,0.6,0.0,0.8,0.4054,0.3429,14.8,11.8,6.0,3.2,6.4,5.2,1.4,3.2,0.5,3,7,1.0,0.5,0.414,3.3798,0.8877,0.5714,0.2,0.334,0.0625,home_win
0.266,0.332,0.2,2.0,2.0,1.6,0.2083,0.2712,9.6,11.6,2.0,4.8,4.2,4.8,2.8,2.4,0.5,14,11,0.0,0.0,0.014,0.4551,1.1159,-0.8182,-0.15,-0.066,-0.0629,away_win
0.532,0.6,1.4,1.8,0.8,3.6,0.3188,0.4375,13.8,10.8,4.4,3.4,6.6,4.2,2.2,2.4,0.5,10,6,0.5,0.5,0.012,1.1477,0.9833,-0.125,-0.2,-0.068,-0.1187,away_win
0.132,0.332,0.6,1.6,2.0,1.4,0.3056,0.4043,7.2,11.6,2.2,4.6,3.6,6.2,3.2,2.2,0.5,20,13,0.0,0.0,-0.12,0.5038,1.0485,-0.4545,-0.35,-0.2,-0.0987,draw
0.2,0.398,0.4,1.0,2.0,0.6,0.2857,0.3065,9.8,11.8,2.8,3.4,4.2,4.8,3.6,2.0,0.5,20,11,0.5,0.0,-0.118,0.5542,0.9876,-0.4286,-0.45,-0.198,-0.0208,home_win
0.266,0.332,1.4,1.0,2.8,0.8,0.375,0.2951,8.0,15.2,3.0,4.8,3.8,6.8,3.0,3.2,0.5,17,14,0.0,0.5,0.014,0.7542,1.0452,0.1667,-0.15,-0.066,0.0799,away_win
0.266,0.866,1.4,0.4,1.6,2.6,0.2561,0.35,16.4,9.8,4.2,3.2,7.8,5.2,2.0,3.2,0.5,18,4,0.5,0.5,-0.52,0.9202,0.8327,0.5556,-0.7,-0.6,-0.0939,draw
0.3333,0.165,0.5,1.6667,1.6667,0.5,0.2931,0.3261,9.6667,11.8333,2.8333,5.1667,4.1667,5.6667,3.0,3.0,0.5,13,20,0.6667,0.0,0.2483,0.6431,1.2531,-0.5385,0.35,0.1683,-0.033,draw
0.4433,0.2217,0.8333,2.3333,0.8333,0.8333,0.3158,0.2899,12.6667,13.0,4.0,5.6667,6.0,5.3333,3.6667,1.8333,0.5,10,20,0.0,0.3333,0.3017,0.9674,1.3205,-0.4737,0.5,0.2217,0.0259,draw
0.4433,0.2217,0.8333,2.0,0.6667,0.1667,0.3051,0.1818,9.8333,13.0,3.0,5.1667,4.1667,7.3333,2.5,2.0,0.5,10,17,0.3333,0.3333,0.3017,0.9082,1.7387,-0.4118,0.35,0.2217,0.1233,draw
0.3317,0.4433,0.5,1.5,1.0,0.6667,0.2639,0.2955,12.0,13.0,3.1667,4.6667,6.5,5.6667,2.3333,2.8333,0.5,13,10,0.3333,0.3333,-0.0317,0.7441,1.1992,-0.5,-0.15,-0.1117,-0.0316,home_win
0.7767,0.7767,2.3333,0.6667,0.5,1.8333,0.3433,0.4074,11.1667,8.6667,3.8333,2.5,3.6667,3.1667,1.8333,2.5,0.5,3,2,1.0,0.6667,0.08,1.4734,0.833,0.5556,-0.05,0.0,-0.0641,home_win
0.4433,0.8883,1.6667,0.0,1.6667,2.8333,0.2917,0.4516,12.0,6.5,3.5,1.1667,4.1667,1.8333,2.8333,1.3333,0.5,10,2,0.3333,0.6667,-0.365,0.958,0.5832,1.0,-0.4,-0.445,-0.1599,away_win
0.665,0.4433,1.8333,1.0,1.1667,1.1667,0.4189,0.3068,12.3333,11.0,5.1667,3.6667,5.8333,5.8333,2.8333,2.1667,0.5,6,12,0.6667,0.3333,0.3017,1.3,0.9029,0.2941,0.3,0.2217,0.1121,away_win
0.3317,0.2767,1.1667,1.5,1.3333,1.3333,0.4118,0.26,8.5,13.8333,3.5,5.1667,6.0,6.3333,2.6667,4.0,0.5,14,16,0.3333,0.0,0.135,0.8633,1.0658,-0.125,0.1,0.055,0.1518,home_win
0.6667,0.2217,3.3333,1.0,1.5,0.6667,0.4206,0.3559,17.8333,10.8333,7.5,3.6667,5.8333,4.8333,1.8333,3.3333,0.5,5,18,0.6667,0.0,0.525,1.7786,0.9289,0.5385,0.65,0.445,0.0647,home_win
0.7217,0.2217,1.5,2.5,1.1667,1.1667,0.411,0.3333,12.1667,13.5,5.0,5.0,6.0,5.6667,3.1667,2.5,0.5,5,19,0.6667,0.3333,0.58,1.2467,1.2266,-0.25,0.7,0.5,0.0777,home_win
